Instituto/Curso,Área, Canc. Por Reopção, Cancelamento Judicial, Cancelamento Por Crpl Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Excluído Art.45 Possui Outro Curso, Limite de Trancamentos, Prescrito, Transf.P/Outra IES, Transferência Interna (Administrativa) ,Total
Ciências Naturais (Licenciatura),EXATAS,0,0,0,9,12,0,0,0,0,0,21
Estatística,EXATAS,0,0,0,4,10,0,0,0,0,0,14
Física,EXATAS,0,0,0,2,3,0,0,0,0,0,5
Física (Licenciatura),EXATAS,0,0,0,15,8,0,0,0,0,1,24
Matemática (Licenciatura),EXATAS,0,0,0,11,13,0,0,1,0,0,25
Química,EXATAS,1,0,0,1,7,0,0,0,0,0,9
Química Industrial,EXATAS,0,0,0,6,3,0,0,0,0,0,9
Química (Licenciatura) ,EXATAS,0,0,0,2,9,0,0,0,0,0,11
Sistemas de Informação,EXATAS,0,0,0,7,6,0,0,1,0,0,14
Direito,HUM,0,0,0,4,21,0,0,3,1,0,29
ABI - Ciências Sociais,HUM,1,0,0,1,3,0,0,0,0,0,5
Administração,HUM,0,0,0,13,7,0,0,0,0,0,20
Administração-Intensivo,HUM,0,0,0,3,0,0,0,0,0,0,3
Arquivologia,HUM,0,0,0,6,2,0,0,0,0,0,8
Biblioteconomia,HUM,0,0,0,3,5,0,0,7,0,0,15
Ciências Contábeis,HUM,0,0,0,6,9,0,0,0,0,0,15
Ciências Contábeis-Intensivo,HUM,0,0,0,2,2,0,0,0,0,0,4
Ciências Sociais Aplicadas,HUM,0,0,0,6,1,0,0,0,0,0,7
Ciências Sociais (Licenciatura),HUM,0,0,0,12,5,0,0,0,0,0,17
Economia,HUM,0,0,0,6,12,0,0,1,1,0,20
Serviço Social,HUM,1,0,0,8,8,0,0,0,0,0,17
Turismo,HUM,1,0,0,23,6,0,0,1,0,0,31
Turismo-Intensivo,HUM,0,0,0,9,0,0,0,0,0,0,9
"Licenciatura Integrada em  Ciências, Matemática e  Linguagens",HUM,1,0,0,9,10,0,0,0,0,0,20
ABI - Filosofia,HUM,0,0,0,2,2,0,0,0,0,0,4
Filosofia,HUM,0,0,0,4,0,0,0,0,0,0,4
Filosofia (Licenciatura),HUM,0,0,0,11,2,0,0,0,0,0,13
Geografia,HUM,0,0,0,5,3,0,0,0,0,0,8
Geografia (Licenciatura),HUM,0,0,0,28,5,0,0,0,0,0,33
Geografia (Licenciatura) - Intensivo,HUM,0,0,2,0,0,0,0,0,0,0,2
História,HUM,0,0,0,1,1,0,0,0,0,0,2
História (Licenciatura),HUM,0,0,0,12,5,0,0,0,0,0,17
Psicologia,HUM,0,0,0,6,48,0,0,0,0,0,54
Geofísica,EXATAS,0,0,0,1,10,0,0,0,0,0,11
Geologia,EXATAS,0,0,0,3,8,0,0,0,0,0,11
Meteorologia,EXATAS,0,0,0,3,7,0,2,0,0,0,12
Oceanografia,EXATAS,1,0,0,4,2,0,0,0,0,0,7
Comunicação Social - Jornalismo,HUM,1,0,0,1,2,0,0,1,0,0,5
Comunicação Social - Publicidade e Propaganda,HUM,0,0,0,4,0,0,0,0,0,0,4
Letras - Alemão (Licenciatura),HUM,1,0,0,4,7,0,0,0,0,0,12
Letras - Espanhol (Licenciatura),HUM,0,0,0,1,1,0,0,0,0,0,2
Letras - Francês (Licenciatura),HUM,0,0,0,5,3,0,0,1,0,0,9
Letras - Inglês (Licenciatura),HUM,0,0,0,3,10,0,0,0,0,0,13
Letras - Libras (Licenciatura),HUM,0,0,0,0,1,0,0,0,0,0,1
Letras - Libras (Licenciatura) - Intensivo,HUM,0,0,1,1,3,0,0,0,0,0,5
Letras - Língua Portuguesa,HUM,0,0,0,25,10,0,1,0,0,0,36
Arquitetura e Urbanismo,HUM,0,0,0,4,3,0,0,1,0,0,8
Engenharia Biomédica,EXATAS,0,0,0,0,14,0,0,0,1,0,15
Engenharia Civil,EXATAS,2,0,0,30,10,0,0,0,1,0,43
Engenharia da Computaço,EXATAS,1,0,0,25,29,0,0,1,0,0,56
Engenharia de Alimentos,EXATAS,1,0,0,2,9,0,0,0,0,0,12
Engenharia de Telecomunicações,EXATAS,0,0,0,3,16,0,1,0,0,0,20
Engenharia Elétrica,EXATAS,0,0,0,8,24,0,1,0,0,0,33
Engenharia Ferroviária e Logística,EXATAS,0,0,0,0,5,0,0,0,0,0,5
Engenharia Mecânica,EXATAS,1,0,0,14,12,0,0,1,0,0,28
Engenharia Naval,EXATAS,1,0,0,3,3,0,0,0,0,0,7
Engenharia Química,EXATAS,0,0,0,2,13,0,0,1,0,0,16
Engenharia Sanitária e Ambiental,EXATAS,0,0,0,7,9,0,0,0,0,0,16
